xName,size
AAK1,10.232018561484919
ABL1,14.524361948955917
ABL2,10.232018561484919
ACK,11.276102088167054
ACTR2,10.232018561484919
ACTR2B,10.0
ADCK3,10.116009280742459
AKT1,13.248259860788863
AKT2,11.74013921113689
ALK,17.192575406032482
ALK1,10.0
ALK2,18.352668213457076
AMPKa1,11.160092807424594
AMPKa2,11.276102088167054
ATM,10.928074245939674
ATR,10.0
AXL,10.0
AurA,29.37354988399072
AurB,10.0
AurC,10.116009280742459
BARK1,12.08816705336427
BIKE,10.464037122969838
BMPR1B,10.0
BMPR2,10.116009280742459
BMX,10.232018561484919
BRAF,21.484918793503482
BRK,10.580046403712297
BTK,21.484918793503482
BUB1,10.348027842227378
BUBR1,10.0
CASK,11.392111368909513
CCK4,10.0
CDC2,11.160092807424594
CDC7,10.696055684454755
CDK2,60.0
CDK4,11.392111368909513
CDK5,11.044083526682135
CDK6,11.97215777262181
CDK7,10.696055684454755
CDK8,13.480278422273782
CDK9,12.900232018561486
CDKL1,10.0
CDKL2,10.116009280742459
CDKL3,10.0
CDKL5,10.0
CHED,10.116009280742459
CHK1,27.633410672853827
CHK2,14.06032482598608
CK1a,10.116009280742459
CK1d,13.82830626450116
CK1e,10.116009280742459
CK1g1,10.0
CK1g2,10.0
CK1g3,11.044083526682135
CK2a1,33.78190255220417
CK2a2,12.668213457076567
CLK1,14.06032482598608
CLK2,10.580046403712297
CLK3,12.08816705336427
CLK4,10.0
COT,10.232018561484919
CRK7,10.812064965197216
CSK,10.232018561484919
CaMK1a,10.348027842227378
CaMK1d,10.464037122969838
CaMK1g,10.0
CaMK2a,12.900232018561486
CaMK2b,10.0
CaMK2d,10.348027842227378
CaMK2g,10.0
CaMK4,10.0
CaMKK1,10.116009280742459
CaMKK2,11.74013921113689
DAPK1,16.612529002320187
DAPK2,10.696055684454755
DAPK3,10.696055684454755
DCAMKL1,10.812064965197216
DDR1,13.712296983758701
DDR2,10.116009280742459
DLK,10.580046403712297
DMPK1,10.0
DNAPK,13.480278422273782
DRAK1,10.116009280742459
DRAK2,10.696055684454755
DYRK1A,18.584686774941993
DYRK2,12.552204176334106
DYRK3,10.0
EGFR,35.522041763341065
EphA2,16.380510440835266
EphA3,13.016241299303944
EphA5,10.0
EphA7,10.464037122969838
EphA8,10.0
EphB1,10.580046403712297
EphB2,10.0
EphB3,10.232018561484919
EphB4,12.08816705336427
ErbB2,10.348027842227378
ErbB3,11.044083526682135
ErbB4,10.348027842227378
Erk1,10.232018561484919
Erk2,24.037122969837586
Erk3,10.464037122969838
Erk5,11.276102088167054
FAK,12.784222737819025
FES,10.464037122969838
FGFR1,16.728538283062644
FGFR2,13.480278422273782
FGFR3,10.348027842227378
FGFR4,13.944315545243619
FLT1,10.0
FLT3,10.580046403712297
FMS,12.08816705336427
FRAP,12.436194895591647
FYN,10.0
GAK,10.696055684454755
GCN2,10.464037122969838
GPRK4,10.0
GPRK5,10.232018561484919
GPRK6,10.232018561484919
GSK3B,18.700696055684453
HCK,12.784222737819025
HGK,11.85614849187935
HH498,10.464037122969838
HIPK2,10.116009280742459
HIPK3,10.116009280742459
HPK1,11.97215777262181
Haspin,13.364269141531322
IGF1R,12.436194895591647
IKKa,10.348027842227378
IKKb,10.116009280742459
ILK,10.348027842227378
INSR,13.016241299303944
IRAK1,10.0
IRAK3,10.116009280742459
IRAK4,17.308584686774942
IRE1,12.320185614849187
ITK,13.712296983758701
JAK1,14.872389791183295
JAK1_b,10.116009280742459
JAK2,20.556844547563806
JAK2_b,13.132250580046403
JAK3,14.524361948955917
JNK1,13.82830626450116
JNK2,10.348027842227378
JNK3,16.612529002320187
KDR,14.756380510440835
KHS2,10.0
KIT,12.436194895591647
